customer_id,ultima_compra,dias_ultima_compra,estado_churn
130,2025-12-30,0,Activo
131,2025-10-16,75,Activo
132,2025-11-10,50,Activo
133,2025-10-28,63,Activo
134,2025-10-16,75,Activo
135,2025-08-04,148,Activo
136,2025-07-07,176,Activo
137,2025-12-20,10,Activo
138,2025-12-08,22,Activo
139,2025-12-23,7,Activo
140,2025-07-14,169,Activo
141,2025-11-23,37,Activo
142,2025-09-28,93,Activo
143,2025-09-06,115,Activo
144,2025-07-31,152,Activo
145,2025-06-07,206,En riesgo
146,2025-09-03,118,Activo
147,2025-10-02,89,Activo
148,2025-05-19,225,En riesgo
149,2025-11-18,42,Activo
150,2024-11-16,409,Perdido
151,2024-12-10,385,Perdido
152,2025-10-21,70,Activo
153,2025-05-03,241,En riesgo
154,2025-05-27,217,En riesgo
155,2025-12-02,28,Activo
156,2025-12-15,15,Activo
157,2025-10-02,89,Activo
158,2025-11-18,42,Activo
159,2025-06-28,185,En riesgo
160,2025-04-11,263,En riesgo
161,2025-08-24,128,Activo
162,2025-11-22,38,Activo
163,2025-11-25,35,Activo
164,2025-09-20,101,Activo
165,2025-12-15,15,Activo
166,2025-12-04,26,Activo
167,2025-01-06,358,En riesgo
168,2025-12-23,7,Activo
169,2025-05-22,222,En riesgo
170,2025-12-29,1,Activo
171,2025-10-16,75,Activo
172,2025-08-02,150,Activo
173,2025-08-20,132,Activo
174,2025-10-05,86,Activo
175,2025-09-28,93,Activo
176,2025-08-12,140,Activo
177,2025-09-01,120,Activo
178,2025-07-13,170,Activo
179,2025-11-20,40,Activo
180,2025-12-21,9,Activo
181,2025-10-14,77,Activo
182,2025-11-22,38,Activo
183,2025-10-18,73,Activo
184,2025-05-23,221,En riesgo
185,2025-07-21,162,Activo
186,2025-08-18,134,Activo
187,2025-06-06,207,En riesgo
188,2025-12-11,19,Activo
189,2025-11-06,54,Activo
190,2025-04-04,270,En riesgo
191,2025-12-02,28,Activo
192,2025-11-13,47,Activo
193,2025-01-25,339,En riesgo
194,2025-08-02,150,Activo
195,2025-12-11,19,Activo
196,2025-10-20,71,Activo
197,2025-12-06,24,Activo
198,2025-10-06,85,Activo
199,2025-12-12,18,Activo
200,2025-09-25,96,Activo
201,2025-07-29,154,Activo
202,2025-10-26,65,Activo
203,2025-12-01,29,Activo
204,2025-11-23,37,Activo
205,2025-11-24,36,Activo
206,2025-11-25,35,Activo
207,2025-08-12,140,Activo
208,2025-06-02,211,En riesgo
209,2025-11-19,41,Activo
210,2024-04-14,625,Perdido
211,2025-09-08,113,Activo
212,2025-08-05,147,Activo
213,2025-07-23,160,Activo
214,2025-12-22,8,Activo
215,2025-09-30,91,Activo
216,2025-09-20,101,Activo
217,2025-12-02,28,Activo
218,2025-08-28,124,Activo
219,2025-10-17,74,Activo
220,2025-02-03,330,En riesgo
221,2025-11-28,32,Activo
222,2025-09-13,108,Activo
223,2025-12-07,23,Activo
224,2025-10-01,90,Activo
225,2025-11-29,31,Activo
226,2025-12-13,17,Activo
227,2025-12-16,14,Activo
228,2025-12-22,8,Activo
229,2025-08-02,150,Activo
230,2025-10-07,84,Activo
231,2025-09-18,103,Activo
232,2025-09-13,108,Activo
233,2025-09-08,113,Activo
234,2025-07-07,176,Activo
235,2025-09-04,117,Activo
236,2025-11-11,49,Activo
237,2025-08-02,150,Activo
238,2025-12-23,7,Activo
239,2025-02-22,311,En riesgo
240,2025-10-25,66,Activo
241,2025-11-13,47,Activo
242,2025-07-19,164,Activo
243,2025-05-13,231,En riesgo
244,2025-10-03,88,Activo
245,2025-11-05,55,Activo
246,2025-10-14,77,Activo
247,2025-02-27,306,En riesgo
248,2025-12-28,2,Activo
249,2025-05-12,232,En riesgo
250,2025-12-02,28,Activo
251,2025-09-10,111,Activo
252,2025-05-06,238,En riesgo
253,2025-11-06,54,Activo
254,2025-11-20,40,Activo
255,2025-09-08,113,Activo
256,2025-05-14,230,En riesgo
257,2025-08-03,149,Activo
258,2025-08-31,121,Activo
259,2025-11-15,45,Activo
260,2025-12-24,6,Activo
261,2025-11-28,32,Activo
262,2025-09-16,105,Activo
263,2025-10-20,71,Activo
264,2025-12-25,5,Activo
265,2025-10-06,85,Activo
266,2025-03-17,288,En riesgo
267,2025-11-10,50,Activo
268,2025-12-19,11,Activo
269,2025-12-21,9,Activo
270,2025-04-16,258,En riesgo
271,2025-09-25,96,Activo
272,2025-10-14,77,Activo
273,2025-06-01,212,En riesgo
274,2025-09-24,97,Activo
275,2025-12-14,16,Activo
276,2025-01-03,361,En riesgo
277,2025-12-23,7,Activo
278,2025-11-03,57,Activo
279,2025-11-26,34,Activo
280,2025-07-29,154,Activo
281,2025-11-27,33,Activo
282,2025-10-09,82,Activo
283,2025-10-07,84,Activo
284,2025-05-27,217,En riesgo
285,2025-08-29,123,Activo
286,2024-07-05,543,Perdido
287,2025-12-26,4,Activo
288,2025-08-20,132,Activo
289,2025-12-22,8,Activo
290,2025-10-18,73,Activo
291,2025-12-08,22,Activo
292,2025-11-14,46,Activo
293,2025-11-25,35,Activo
294,2025-12-01,29,Activo
295,2025-11-28,32,Activo
296,2025-12-17,13,Activo
297,2025-12-28,2,Activo
298,2025-11-14,46,Activo
299,2025-03-06,299,En riesgo
300,2025-12-27,3,Activo
301,2025-10-24,67,Activo
302,2025-04-09,265,En riesgo
303,2025-12-10,20,Activo
304,2025-10-28,63,Activo
305,2025-11-02,58,Activo
306,2025-12-18,12,Activo
307,2025-02-02,331,En riesgo
308,2025-11-23,37,Activo
309,2025-09-29,92,Activo
310,2025-09-19,102,Activo
311,2025-08-18,134,Activo
312,2025-10-18,73,Activo
313,2025-09-11,110,Activo
314,2025-06-07,206,En riesgo
315,2025-10-22,69,Activo
316,2025-01-03,361,En riesgo
317,2025-11-19,41,Activo
318,2025-10-09,82,Activo
319,2025-09-13,108,Activo
320,2025-09-25,96,Activo
321,2025-11-19,41,Activo
322,2025-08-15,137,Activo
323,2025-06-13,200,En riesgo
324,2025-12-08,22,Activo
325,2025-07-30,153,Activo
326,2025-06-20,193,En riesgo
327,2025-06-06,207,En riesgo
328,2025-06-18,195,En riesgo
329,2025-10-31,60,Activo
330,2025-10-22,69,Activo
331,2025-11-10,50,Activo
332,2025-11-06,54,Activo
333,2025-12-30,0,Activo
334,2025-09-28,93,Activo
335,2025-11-07,53,Activo
336,2025-10-16,75,Activo
337,2025-09-17,104,Activo
338,2025-06-04,209,En riesgo
339,2025-10-24,67,Activo
340,2025-05-27,217,En riesgo
341,2025-03-29,276,En riesgo
342,2025-10-31,60,Activo
343,2025-11-14,46,Activo
344,2025-06-28,185,En riesgo
345,2025-11-17,43,Activo
346,2025-11-10,50,Activo
347,2025-12-11,19,Activo
348,2023-08-18,865,Perdido
349,2025-12-22,8,Activo
350,2024-08-20,497,Perdido
351,2025-08-29,123,Activo
352,2025-05-16,228,En riesgo
353,2025-08-30,122,Activo
354,2025-01-16,348,En riesgo
355,2025-03-15,290,En riesgo
356,2024-07-12,536,Perdido
357,2025-11-14,46,Activo
358,2024-12-04,391,Perdido
359,2025-03-21,284,En riesgo
360,2024-04-02,637,Perdido
361,2025-12-14,16,Activo
362,2025-08-27,125,Activo
363,2025-01-16,348,En riesgo
364,2025-12-07,23,Activo
365,2024-12-02,393,Perdido
366,2025-09-18,103,Activo
367,2025-12-15,15,Activo
368,2025-11-09,51,Activo
369,2025-03-25,280,En riesgo
370,2025-11-13,47,Activo
371,2025-05-22,222,En riesgo
372,2024-08-03,514,Perdido
373,2025-12-24,6,Activo
374,2025-10-05,86,Activo
375,2025-10-09,82,Activo
376,2025-11-21,39,Activo
377,2025-06-15,198,En riesgo
378,2025-08-10,142,Activo
379,2025-01-30,334,En riesgo
380,2025-10-16,75,Activo
381,2025-07-24,159,Activo
382,2025-02-19,314,En riesgo
383,2025-10-11,80,Activo
384,2025-12-11,19,Activo
385,2025-12-19,11,Activo
386,2025-09-02,119,Activo
387,2025-11-10,50,Activo
388,2024-10-22,434,Perdido
389,2025-06-28,185,En riesgo
390,2025-11-21,39,Activo
391,2025-04-09,265,En riesgo
392,2025-09-20,101,Activo
393,2025-06-08,205,En riesgo
394,2025-12-03,27,Activo
395,2025-09-12,109,Activo
396,2025-12-16,14,Activo
397,2025-08-26,126,Activo
398,2025-10-24,67,Activo
399,2025-08-14,138,Activo
400,2025-09-13,108,Activo
401,2025-05-03,241,En riesgo
402,2025-09-12,109,Activo
403,2025-08-15,137,Activo
404,2025-11-23,37,Activo
405,2024-09-28,458,Perdido
406,2025-11-24,36,Activo
407,2025-11-06,54,Activo
408,2025-12-30,0,Activo
409,2025-11-24,36,Activo
410,2025-09-05,116,Activo
411,2025-11-01,59,Activo
412,2025-12-04,26,Activo
413,2025-09-22,99,Activo
414,2025-10-19,72,Activo
415,2025-11-05,55,Activo
416,2025-06-20,193,En riesgo
417,2025-10-29,62,Activo
418,2025-10-04,87,Activo
419,2025-10-13,78,Activo
420,2025-08-04,148,Activo
421,2025-11-10,50,Activo
422,2024-12-25,370,Perdido
423,2025-06-19,194,En riesgo
424,2025-12-08,22,Activo
425,2025-11-18,42,Activo
426,2025-04-03,271,En riesgo
427,2025-11-18,42,Activo
428,2025-12-16,14,Activo
429,2025-07-31,152,Activo
430,2025-10-05,86,Activo
431,2025-12-24,6,Activo
432,2025-12-19,11,Activo
433,2025-05-11,233,En riesgo
434,2025-09-24,97,Activo
435,2025-10-05,86,Activo
436,2025-12-29,1,Activo
437,2025-07-12,171,Activo
438,2025-11-20,40,Activo
439,2025-09-10,111,Activo
440,2025-07-29,154,Activo
441,2025-10-07,84,Activo
442,2025-12-20,10,Activo
443,2025-01-27,337,En riesgo
444,2025-11-06,54,Activo
445,2025-12-20,10,Activo
446,2025-05-07,237,En riesgo
447,2025-12-01,29,Activo
448,2025-11-23,37,Activo
449,2025-09-17,104,Activo
450,2025-09-20,101,Activo
451,2025-09-11,110,Activo
452,2025-11-11,49,Activo
453,2025-11-21,39,Activo
454,2025-07-30,153,Activo
455,2025-12-07,23,Activo
456,2025-07-26,157,Activo
457,2025-11-22,38,Activo
458,2025-11-19,41,Activo
459,2025-09-19,102,Activo
460,2025-03-17,288,En riesgo
461,2025-02-20,313,En riesgo
462,2025-09-08,113,Activo
463,2025-05-29,215,En riesgo
464,2025-12-18,12,Activo
465,2025-04-17,257,En riesgo
466,2025-04-28,246,En riesgo
467,2025-11-30,30,Activo
468,2025-09-07,114,Activo
469,2025-05-27,217,En riesgo
470,2025-12-03,27,Activo
471,2025-05-12,232,En riesgo
472,2025-12-14,16,Activo
473,2025-08-12,140,Activo
474,2025-06-02,211,En riesgo
475,2025-12-08,22,Activo
476,2025-10-26,65,Activo
477,2025-02-20,313,En riesgo
478,2025-11-12,48,Activo
479,2024-10-30,426,Perdido
480,2025-11-12,48,Activo
481,2025-11-24,36,Activo
482,2025-08-06,146,Activo
483,2025-08-15,137,Activo
484,2025-10-07,84,Activo
485,2025-08-30,122,Activo
486,2025-10-16,75,Activo
487,2025-11-30,30,Activo
488,2024-11-16,409,Perdido
489,2025-08-07,145,Activo
490,2025-07-21,162,Activo
491,2025-06-02,211,En riesgo
492,2025-11-03,57,Activo
493,2025-10-18,73,Activo
494,2025-08-02,150,Activo
495,2025-09-11,110,Activo
496,2025-12-18,12,Activo
497,2025-11-06,54,Activo
498,2025-12-09,21,Activo
499,2025-12-19,11,Activo
500,2025-10-19,72,Activo
501,2025-11-28,32,Activo
502,2025-07-24,159,Activo
503,2025-01-22,342,En riesgo
504,2025-07-30,153,Activo
505,2025-07-10,173,Activo
506,2025-11-11,49,Activo
507,2025-12-24,6,Activo
508,2025-11-20,40,Activo
509,2025-12-23,7,Activo
510,2025-12-19,11,Activo
511,2025-12-15,15,Activo
512,2025-11-21,39,Activo
513,2025-12-23,7,Activo
514,2025-12-14,16,Activo
515,2025-12-29,1,Activo
516,2025-01-01,363,En riesgo
517,2025-12-18,12,Activo
518,2025-02-04,329,En riesgo
519,2025-04-30,244,En riesgo
520,2025-12-11,19,Activo
521,2025-07-19,164,Activo
522,2025-08-22,130,Activo
523,2025-10-01,90,Activo
524,2025-10-16,75,Activo
525,2025-06-28,185,En riesgo
526,2025-10-08,83,Activo
527,2025-02-26,307,En riesgo
528,2025-10-19,72,Activo
529,2025-10-04,87,Activo
530,2025-07-22,161,Activo
531,2025-05-07,237,En riesgo
532,2025-12-12,18,Activo
533,2025-10-25,66,Activo
534,2025-02-24,309,En riesgo
535,2025-09-16,105,Activo
536,2025-07-27,156,Activo
537,2025-09-15,106,Activo
538,2025-10-04,87,Activo
539,2025-11-03,57,Activo
540,2025-07-17,166,Activo
541,2025-11-25,35,Activo
542,2025-12-18,12,Activo
543,2025-11-10,50,Activo
544,2025-12-01,29,Activo
545,2025-06-25,188,En riesgo
546,2023-10-03,819,Perdido
547,2025-09-01,120,Activo
548,2025-12-28,2,Activo
549,2025-12-03,27,Activo
550,2025-07-31,152,Activo
551,2025-05-15,229,En riesgo
552,2024-11-22,403,Perdido
553,2025-07-31,152,Activo
554,2025-10-06,85,Activo
555,2025-07-21,162,Activo
556,2025-03-13,292,En riesgo
557,2025-11-04,56,Activo
558,2025-12-08,22,Activo
559,2025-12-09,21,Activo
560,2025-01-12,352,En riesgo
561,2025-12-04,26,Activo
562,2025-12-22,8,Activo
563,2025-11-26,34,Activo
564,2025-09-23,98,Activo
565,2025-11-21,39,Activo
566,2025-07-03,180,En riesgo
567,2025-12-04,26,Activo
568,2025-09-21,100,Activo
569,2025-11-12,48,Activo
570,2025-09-29,92,Activo
571,2025-05-26,218,En riesgo
572,2025-08-22,130,Activo
573,2025-05-19,225,En riesgo
574,2025-12-28,2,Activo
575,2025-07-15,168,Activo
576,2025-10-24,67,Activo
577,2025-11-04,56,Activo
578,2025-09-09,112,Activo
579,2025-07-30,153,Activo
580,2025-09-30,91,Activo
581,2025-12-01,29,Activo
582,2025-08-06,146,Activo
583,2025-01-14,350,En riesgo
584,2025-12-17,13,Activo
585,2025-10-19,72,Activo
586,2025-12-16,14,Activo
587,2025-09-01,120,Activo
588,2025-12-21,9,Activo
589,2025-12-21,9,Activo
590,2025-09-20,101,Activo
591,2025-11-04,56,Activo
592,2025-02-21,312,En riesgo
593,2025-12-28,2,Activo
594,2024-05-24,585,Perdido
595,2025-04-20,254,En riesgo
596,2025-12-11,19,Activo
597,2025-07-24,159,Activo
598,2024-11-28,397,Perdido
599,2025-11-04,56,Activo
600,2025-11-13,47,Activo
601,2025-10-15,76,Activo
602,2025-12-30,0,Activo
603,2025-12-26,4,Activo
604,2025-10-30,61,Activo
605,2025-10-01,90,Activo
606,2025-12-26,4,Activo
607,2025-09-16,105,Activo
608,2025-12-11,19,Activo
609,2025-09-02,119,Activo
610,2025-09-29,92,Activo
611,2025-12-15,15,Activo
612,2025-12-16,14,Activo
613,2025-12-22,8,Activo
614,2025-07-25,158,Activo
615,2025-09-22,99,Activo
616,2025-12-18,12,Activo
617,2025-09-04,117,Activo
618,2025-09-12,109,Activo
619,2025-07-12,171,Activo
620,2025-10-27,64,Activo
621,2025-07-21,162,Activo
622,2025-08-06,146,Activo
623,2025-11-12,48,Activo
624,2025-11-23,37,Activo
625,2025-11-27,33,Activo
626,2024-11-23,402,Perdido
627,2025-08-13,139,Activo
628,2025-12-27,3,Activo
629,2025-11-05,55,Activo
630,2025-04-22,252,En riesgo
631,2025-12-28,2,Activo
632,2025-07-04,179,Activo
633,2025-10-10,81,Activo
634,2025-10-01,90,Activo
635,2025-02-08,325,En riesgo
636,2025-09-20,101,Activo
637,2025-09-24,97,Activo
638,2025-08-17,135,Activo
639,2025-12-12,18,Activo
640,2025-02-15,318,En riesgo
641,2025-11-03,57,Activo
642,2025-04-21,253,En riesgo
643,2025-11-21,39,Activo
644,2025-05-02,242,En riesgo
645,2025-08-23,129,Activo
646,2025-12-15,15,Activo
647,2025-10-24,67,Activo
648,2025-09-04,117,Activo
649,2025-10-12,79,Activo
650,2025-07-29,154,Activo
651,2025-07-04,179,Activo
652,2025-07-11,172,Activo
653,2025-05-10,234,En riesgo
654,2025-11-16,44,Activo
655,2025-07-20,163,Activo
656,2025-09-13,108,Activo
657,2024-09-26,460,Perdido
658,2025-11-21,39,Activo
659,2025-03-18,287,En riesgo
660,2025-11-09,51,Activo
661,2025-03-09,296,En riesgo
662,2025-11-16,44,Activo
663,2025-12-16,14,Activo
664,2025-12-28,2,Activo
665,2025-12-09,21,Activo
666,2025-10-21,70,Activo
667,2025-11-27,33,Activo
668,2025-11-07,53,Activo
669,2025-08-17,135,Activo
670,2025-11-14,46,Activo
671,2025-02-14,319,En riesgo
672,2025-02-07,326,En riesgo
673,2025-10-01,90,Activo
674,2025-11-25,35,Activo
675,2025-07-24,159,Activo
676,2025-12-26,4,Activo
677,2025-11-05,55,Activo
678,2025-01-27,337,En riesgo
679,2025-12-10,20,Activo
680,2025-08-29,123,Activo
681,2025-07-29,154,Activo
682,2025-10-18,73,Activo
683,2025-07-03,180,En riesgo
684,2025-03-13,292,En riesgo
685,2025-07-10,173,Activo
686,2025-10-07,84,Activo
687,2025-12-22,8,Activo
688,2025-12-09,21,Activo
689,2025-11-01,59,Activo
690,2025-08-08,144,Activo
691,2025-11-17,43,Activo
692,2025-07-09,174,Activo
693,2025-12-19,11,Activo
694,2025-11-02,58,Activo
695,2025-12-28,2,Activo
696,2025-10-25,66,Activo
697,2025-10-05,86,Activo
698,2025-11-24,36,Activo
699,2025-08-04,148,Activo
700,2025-10-29,62,Activo
701,2024-03-04,666,Perdido
702,2025-09-11,110,Activo
703,2025-04-16,258,En riesgo
704,2025-11-02,58,Activo
705,2025-12-21,9,Activo
706,2025-05-15,229,En riesgo
707,2025-06-27,186,En riesgo
708,2025-07-06,177,Activo
709,2025-12-22,8,Activo
710,2025-11-19,41,Activo
711,2025-08-20,132,Activo
712,2025-11-13,47,Activo
713,2025-05-26,218,En riesgo
714,2025-07-06,177,Activo
715,2025-10-09,82,Activo
716,2025-11-03,57,Activo
717,2025-11-12,48,Activo
718,2025-01-29,335,En riesgo
719,2024-12-12,383,Perdido
720,2025-08-12,140,Activo
721,2025-11-17,43,Activo
722,2025-03-29,276,En riesgo
723,2025-10-18,73,Activo
724,2025-11-08,52,Activo
725,2025-01-18,346,En riesgo
726,2025-10-09,82,Activo
727,2025-11-27,33,Activo
728,2025-09-05,116,Activo
729,2025-09-20,101,Activo
730,2025-06-16,197,En riesgo
731,2025-09-21,100,Activo
732,2025-12-21,9,Activo
733,2025-10-22,69,Activo
734,2025-05-21,223,En riesgo
735,2025-12-09,21,Activo
736,2025-12-17,13,Activo
737,2025-11-21,39,Activo
738,2025-07-24,159,Activo
739,2025-12-13,17,Activo
740,2025-10-19,72,Activo
741,2025-11-02,58,Activo
742,2025-09-07,114,Activo
743,2025-11-12,48,Activo
744,2025-07-25,158,Activo
745,2025-05-04,240,En riesgo
746,2025-09-18,103,Activo
747,2025-11-22,38,Activo
748,2025-12-06,24,Activo
749,2025-11-05,55,Activo
750,2025-11-22,38,Activo
753,2025-09-18,103,Activo
754,2025-12-17,13,Activo
755,2025-10-16,75,Activo
756,2025-10-27,64,Activo
757,2022-01-22,1438,Perdido
758,2023-04-19,986,Perdido
759,2023-04-08,997,Perdido
760,2024-08-29,488,Perdido
761,2023-05-02,973,Perdido
762,2023-05-04,971,Perdido
763,2023-04-19,986,Perdido
764,2025-10-02,89,Activo
765,2025-11-06,54,Activo
766,2023-05-23,952,Perdido
767,2022-03-02,1399,Perdido
768,2024-08-18,499,Perdido
769,2025-12-01,29,Activo
770,2025-09-27,94,Activo
771,2022-01-14,1446,Perdido
772,2022-03-04,1397,Perdido
773,2025-12-14,16,Activo
774,2023-05-14,961,Perdido
775,2025-10-17,74,Activo
776,2023-04-11,994,Perdido
777,2025-12-25,5,Activo
778,2025-11-16,44,Activo
779,2024-07-17,531,Perdido
780,2025-12-21,9,Activo
781,2023-04-20,985,Perdido
782,2024-07-19,529,Perdido
783,2025-10-14,77,Activo
784,2023-05-17,958,Perdido
785,2022-01-25,1435,Perdido
786,2023-06-08,936,Perdido
787,2025-12-24,6,Activo
788,2024-08-03,514,Perdido
789,2025-11-03,57,Activo
790,2025-09-11,110,Activo
791,2023-06-17,927,Perdido
792,2024-07-08,540,Perdido
793,2025-09-12,109,Activo
794,2025-11-25,35,Activo
795,2022-02-17,1412,Perdido
796,2025-12-26,4,Activo
797,2022-02-09,1420,Perdido
798,2023-05-15,960,Perdido
799,2022-01-11,1449,Perdido
800,2025-11-15,45,Activo
801,2022-03-12,1389,Perdido
802,2022-03-15,1386,Perdido
803,2023-04-15,990,Perdido
804,2025-12-29,1,Activo
805,2024-07-26,522,Perdido
806,2024-08-30,487,Perdido
807,2024-07-14,534,Perdido
808,2025-09-30,91,Activo
809,2023-06-03,941,Perdido
810,2025-09-26,95,Activo
811,2022-01-01,1459,Perdido
812,2025-11-14,46,Activo
813,2022-02-18,1411,Perdido
814,2022-02-21,1408,Perdido
815,2025-11-06,54,Activo
816,2023-05-19,956,Perdido
817,2022-03-27,1374,Perdido
818,2025-12-22,8,Activo
819,2022-02-24,1405,Perdido
820,2023-05-26,949,Perdido
821,2025-10-08,83,Activo
822,2024-07-05,543,Perdido
823,2022-01-19,1441,Perdido
824,2022-03-02,1399,Perdido
825,2025-09-02,119,Activo
826,2022-02-11,1418,Perdido
827,2025-09-13,108,Activo
828,2025-10-09,82,Activo
829,2025-10-26,65,Activo
830,2022-01-13,1447,Perdido
831,2022-02-20,1409,Perdido
832,2025-10-12,79,Activo
833,2023-05-01,974,Perdido
834,2022-02-01,1428,Perdido
835,2025-11-29,31,Activo
836,2025-09-10,111,Activo
837,2025-10-07,84,Activo
838,2024-08-17,500,Perdido
839,2023-04-11,994,Perdido
840,2023-06-10,934,Perdido
841,2023-05-07,968,Perdido
842,2025-12-13,17,Activo
843,2023-05-18,957,Perdido
844,2024-08-15,502,Perdido
845,2023-06-06,938,Perdido
846,2023-06-12,932,Perdido
847,2025-12-20,10,Activo
848,2022-01-29,1431,Perdido
849,2022-03-18,1383,Perdido
850,2025-12-29,1,Activo
851,2025-12-03,27,Activo
852,2024-07-20,528,Perdido
853,2025-12-10,20,Activo
854,2025-12-18,12,Activo
855,2025-09-03,118,Activo
856,2025-09-07,114,Activo
857,2024-08-22,495,Perdido
858,2025-11-19,41,Activo
859,2025-09-09,112,Activo
860,2023-06-01,943,Perdido
861,2025-10-25,66,Activo
862,2025-09-14,107,Activo
863,2022-02-18,1411,Perdido
864,2023-05-16,959,Perdido
865,2023-04-14,991,Perdido
866,2022-03-16,1385,Perdido
867,2025-09-02,119,Activo
868,2022-03-02,1399,Perdido
869,2023-06-18,926,Perdido
870,2025-11-17,43,Activo
871,2023-04-05,1000,Perdido
872,2022-03-24,1377,Perdido
873,2025-09-05,116,Activo
874,2022-01-05,1455,Perdido
875,2025-12-23,7,Activo
876,2024-07-21,527,Perdido
877,2024-08-01,516,Perdido
878,2025-11-21,39,Activo
879,2025-09-14,107,Activo
880,2025-11-07,53,Activo
881,2025-10-29,62,Activo
882,2022-01-26,1434,Perdido
883,2025-11-22,38,Activo
884,2025-12-27,3,Activo
885,2023-04-15,990,Perdido
886,2024-07-28,520,Perdido
887,2025-09-22,99,Activo
888,2023-04-06,999,Perdido
889,2025-11-10,50,Activo
890,2024-08-19,498,Perdido
891,2025-11-18,42,Activo
892,2025-12-27,3,Activo
893,2025-12-02,28,Activo
894,2024-08-20,497,Perdido
895,2025-11-08,52,Activo
896,2025-11-29,31,Activo
897,2025-11-20,40,Activo
898,2023-05-31,944,Perdido
899,2025-09-06,115,Activo
900,2025-12-28,2,Activo
901,2022-03-14,1387,Perdido
902,2023-06-27,917,Perdido
903,2024-08-09,508,Perdido
904,2023-06-03,941,Perdido
